Name,Description,Link,Handle,Channel ID,Tip Jar
Hadassa Allison,Designated Guardian,https://www.youtube.com/@HadassaAllison,@HadassaAllison,UCLIgrduv8N_GWxSqzKq3T0g,https://paypal.me/dessi66
Zarya the Laika,Main channel,https://www.youtube.com/@ZaryaTheLaika,@ZaryaTheLaika,UCKG68gncKr7Q-jlQvHR3Hmw,https://paypal.me/dessi66
Zarya the Laika Extras,Unused footage,https://www.youtube.com/@ZaryaTheLaikaExtras,@ZaaryaTheLaikaExtras,UCCZTH-jwNY8ReFZ88boI21A,https://paypal.me/dessi66
Zarya the Laika Endnotes,Behind the scene,https://www.youtube.com/@ZaryaTheLaikaEndnotes,@ZaryaTheLaikaEndnotes,UCn1HGaU7GjlrOPd4oUMBQlg,https://paypal.me/dessi66
Zarya the Laika Highlights,Clips,https://www.youtube.com/@ZaryatheLaikaHighlights,@ZaryaTheLaikaHighlights,UCDsmRpHwv7tjgqrBAITc2LA,https://paypal.me/dessi66
Zarya the Laika Logs,VOD channel,https://www.youtube.com/@ZaryaTheLaikaLogs,@ZaryaTheLaikaLogs,UC2lSMlsIgBWu_qNXhOBBi6w,https://paypal.me/dessi66
Zarya the Laika Română,Romanian language channel,https://www.youtube.com/@ZaryaTheLaika-RO,@ZaryaTheLaika-RO,UCIlVXGsFcFvlo-ZpZjD_BMA,https://paypal.me/dessi66 
Zarya the Laika Shorts,Short-form channel,https://www.youtube.com/@ZaryatheLaikaShorts,@ZaryaTheLaikaShorts,UCFcnRJ6khAdVSSRGNiSmxUg,https://paypal.me/dessi66
Zarya the Laika Русский,Russian language channel,https://www.youtube.com/@ZaryaTheLaika-RU,@ZaryaTheLaika-RU,UCWlaZyioZ-HUFNv9vUu4ZCA,https://paypal.me/dessi66
